search_query,max results,title,channel,description,url
kid cartoon,50,Chris and Magic Faucet Adventure - Kids toy stories,Chris kids show,Chris and Magic Faucet Adventure - Kids toy stories 00:00 Chris and Magic Faucet Adventure - Kids toy stories 05:44 Chris is ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'S84fHUZdOGs'}"
kid cartoon,50,Vlad and Niki - Kids story about viruses | Stay healthy,Vlad and Niki,Chris shows how to wash your hands and keep them clean and how important it is! Kids defeat viruses. 00:00 Vlad and Niki - Kids ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'KFLDr8H4Em8'}"
kid cartoon,50,Humpty Dumpty Grocery Store | CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,Look at Humpty Dumpty bounce and roll! Nina goes on an epic chase after losing her plastic toy egg from the vending machine in ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'hxOApe1P9dM'}"
kid cartoon,50,Rain Rain Go Away | Animal Version | Newborn Baby Songs &amp; Nursery Rhymes,Little LaLa's Nursery Rhymes,Sing along with us to the fun 'Rain Rain Go Away' song with cute animals who are waiting for sunny days! Rain Rain Go ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'd7sHFcthZJQ'}"
kid cartoon,50,The Wheel on the Ambulance 🚑  Cartoon Cars | Baby Shark Sing a Song | Nursery Rhymes &amp; Kids Songs,Wheel Craft City,"Join us for a fun and educational journey with Cartoon Cars, Baby Shark, and Nursery Rhymes! Sing along to the Wheels on the ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'uaPH6lscXAA'}"
kid cartoon,50,Let&#39;s Share the Pizza | Sharing is Caring | Good Manners | Nursery Rhymes &amp; Kids Songs | BabyBus,BabyBus - Kids Songs and Cartoons,"Sharing makes us happy! One for each of us! A shared pizza is a delicious pizza! Lyrics： Pizza, pizza, yummy pizza With ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'aSLFDNmgeyQ'}"
kid cartoon,50,Baby Shark + Wheels On the Bus song - Soccer ball shaped wheels - Baby Nursery Rhymes &amp; Kids Songs,SquareWheels TV,"Baby Shark + Wheels On the Bus song - Soccer ball shaped wheels - Baby Nursery Rhymes & Kids Songs five little ducks, animal ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'qYaHoiUK0sc'}"
kid cartoon,50,Pea Pea Explore Black Pink Oreo Vending Machine 🍩 Cartoon For Kids 💖 Pea Pea World,PeaPea World,"Welcome back to Pea Pea world! Pea Pea is a happy, lovely boy who always loves to explore colorful life. In today's episode ""Pea ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'gaRFLztmazA'}"
kid cartoon,50,Little boy kindness #kindness #kids #story #happy #kidshut #stories #moral #motivation,Madhu Nimanthi,,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'lz0EbP3gClU'}"
kid cartoon,50,George Loves Bubble Baths 🐵 Curious George 🐵 Kids Cartoon 🐵 Kids Movies,Curious George Official,The Man with the Yellow Hat just can't figure out why George refuses to take a bath. Buy all the episodes of Curious George on ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'lHmPEalzFK0'}"
kid cartoon,50,Tom &amp; Jerry | Tom &amp; Jerry in Full Screen | Classic Cartoon Compilation | WB Kids,WB Kids,Did you know that there are only 25 classic Tom & Jerry episodes that were displayed in a widescreen CinemaScope from the ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 't0Q2otsqC4I'}"
kid cartoon,50,Cardboard SCHOOL Adventure for kids,✿ Kids Diana Show,Fun adventures at Cardboard School with Roma and friends. 00:00 Cardboard School Adventure for kids 06:10 Magical School ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '-5krrl0eiKc'}"
kid cartoon,50,Spider Man and Magic Water #spiderrman #funny #shorts #animation #cartoon #cartoons,Super shorts ,animation #cartoon #cartoons #tomandjerry #kidsentertainment #funnycartoon #kids #kidsvideos #kidscartoon #cartoonsforkids ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'jnQr-PuFxZM'}"
kid cartoon,50,"Ek Mota Hathi Khelne Gaya, एक मोटा हाथी, Hindi Cartoon Song and Baby Videos",Nimboo Kids - Cartoon Videos for Children,"We have a nursery rhyme, song, video or game for every occasion here at Kids Rhymes. With home to many cartoon 2D and 3D ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '-_5dLLUbXNc'}"
kid cartoon,50,Learning Colors and Numbers Song | Colorful Eggs on the Farm,Boo Boo Kids  ,"Smiling eggs on the farm change colors. Learn 7 colors: White, Gray, Black, Brown, Somon, Burgundy and Lilac. Musical ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'lY1Mso-iFQg'}"
kid cartoon,50,Nastya and Friends learn about the dangers of sweets,Like Nastya,Kids end up in the hospital and learn about the dangers of eating too many sweets. This educational video is perfect for teaching ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '6VlJX_hMupI'}"
kid cartoon,50,Masha and the Bear 2024 🎬 NEW EPISODE! 🎬 Best cartoon collection 🥔 Soup Pursuit 🥕🍲,Masha and The Bear,NEW EPISODE Fluffy Dessert ☁️ (Episode 120) https://youtu.be/2-WL2Hr7x2g Masha and the Bear. All new episodes here ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'gEbbHlMXE9Y'}"
kid cartoon,50,Chase and Skye Rescue Missions and MORE - PAW Patrol - Cartoons for Kids,PAW Patrol Official & Friends,"In this PAW Patrol cartoon compilation for kids, two of your favorite pups team up! Chase and Skye look for Tracker in the jungle, ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'z49MDlVGIfA'}"
kid cartoon,50,Magic Candy Shower Adventure with Chris and Alice,Vlad and Niki,Magic Candy Shower Adventure with Chris and Alice 00:00 Magic Candy Shower Adventure with Chris and Alice 03:41 Vlad and ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '2uh6je4E_Vo'}"
kid cartoon,50,Where&#39;s Chicky? Funny Chicky 2023 | COMPILATION | Cartoon in English for Kids | New episodes,Where's Chicky? - Cartoon in English,Subscribe and discover new videos every week → http://bit.ly/ChickyEN Welcome to Chicky's official YouTube channel! #Chicky ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'gSqCz4aiqSs'}"
kid cartoon,50,Oliver Rides a Tractor and Finds Lost Numbers,✿ Kids Diana Show,"Oliver rides a tractor and finds lost numbers, learning to count to 5 along the way. This educational video is perfect for young ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'BWISp5Thl7E'}"
kid cartoon,50,Roma Diana and their sweetest stories for children,★ Kids Roma Show,Roma and Diana pretend to play with sweets. The sweetest stories for children from Diana and Roma Roma's Instagram: ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'FOVe6CUi9QQ'}"
kid cartoon,50,A Monster?! 😱 | Jungle Beat: Munki &amp; Trunk | Full Episodes | Kids Cartoon 2024,Jungle Beat,"""   Subscribe for more videos: https://bit.ly/2OmVOZN Catch Jungle Beat on the Kids Street channel every Tuesdays ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'M6gWY5lS9KU'}"
kid cartoon,50,Baby Lala Wakes Up Sleeping Bunnies 🐰 + MORE Lalafun Nursery Rhymes &amp; Kids Songs,Lalafun - Nursery Rhymes,Let's Hop with Baby Lala and the Bunnies! ✨ Lyrics: See the little bunnies sleeping 'til it's nearly noon Shall we wake them ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'c2qNI3ZMHa8'}"
kid cartoon,50,🦖🦕 Your friend Tyrannosaurus Rex + More! | Dinosaur Cartoon | Pinkfong Dinosaurs for Kids,Pinkfong Dinosaurs for Kids,Rawrrr!! Hello friends. It's Tyrannosaurus Rex! Let me introduce my friends to you. Follow me! You're watching 'My friend ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'ayKCzl5xRh4'}"
kid cartoon,50,"Bluey FULL Episodes Seasons 1 - 3 💙 | Featuring Dad Baby, Faceytalk and more! | 2 HOURS | Bluey",Bluey - Official Channel,Watch 18 of your favourite Bluey full episodes here! 00:00 - Pizza Girls 06:45 - Pass the Parcel 14:10 - Faceytalk 20:29 ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'aP-qKaig84M'}"
